	PatID	Archaea
SRR5971502	UT29	0
SRR5971503	UT34	0
SRR5971504	UT29	0
SRR5971505	UT34	0
SRR5971506	UT21	0
SRR5971507	UT21	0
SRR5971508	UT23	0
SRR5971509	UP37	0
SRR5971510	UT20	0
SRR5971511	UT35	0
SRR5971513	UT52	1
SRR5971514	UT42	0
SRR5971515	UT46	0
SRR5971516	UT13	0
SRR5971517	UT46	0
SRR5971518	UT46	0
SRR5971519	UP21	0
SRR5971520	UT45	0
SRR5971521	UT31	0
SRR5971522	UT31	0
SRR5971523	UT23	0
SRR5971524	UT12	1
SRR5971525	UT01	1
SRR5971526	UT42	0
SRR5971527	UT13	0
SRR5971528	UT46	1
SRR5971529	UT29	0
SRR5971530	UT20	0
SRR5971531	UT52	1
SRR5971532	UT51	0
SRR5971533	UT23	0
SRR5971534	UT42	0
SRR5971535	UT05	0
SRR5971536	UT52	1
SRR5971537	UT01	1
SRR5971538	UT34	0
SRR5971539	UT42	0
SRR5971540	UT52	1
SRR5971541	UT51	0
SRR5971542	UT42	0
SRR5971543	UP41	0
SRR5971544	UT51	0
SRR5971545	UT24	0
SRR5971546	UT53	1
SRR5971547	UT01	1
SRR5971548	UT34	0
SRR5971549	UT46	0
SRR5971550	UT34	0
SRR5971551	UT43	0
SRR5971552	UT20	0
SRR5971553	UT23	0
SRR5971554	UT51	0
SRR5971555	UP20	0
SRR5971556	UT53	0
SRR5971557	UT52	1
SRR5971558	UT01	0
SRR5971559	UT42	0
SRR5971560	UT01	0
SRR5971561	UT43	0
SRR5971562	UT13	0
SRR5971563	UT24	0
SRR5971564	UP20	1
SRR5971565	UT38	0
